Date,Reservations,MisesEnVente,Annulations,Encours,DelaiEcoulement,PrixM2_Collectif,Resa_Sociaux,Resa_Institutionnels
2017-01-01,33612.0,34232.0,3725.0,110581.0,3.3,3989.0,,
2017-04-01,32490.0,33852.0,3773.0,114410.0,3.5,3962.0,,
2017-07-01,35617.0,32302.0,3773.0,113635.0,3.3,3969.0,,
2017-10-01,35197.0,34154.0,3657.0,115519.0,3.3,4018.0,,
2018-01-01,33584.0,38734.0,3696.0,121723.0,3.5,4110.0,9601.0,2171.0
2018-04-01,34730.0,33727.0,3800.0,123210.0,3.6,4094.0,7327.0,1618.0
2018-07-01,33731.0,32674.0,3884.0,124025.0,3.6,4104.0,8226.0,1664.0
2018-10-01,35095.0,30464.0,4060.0,120842.0,3.5,4156.0,7469.0,2361.0
2019-01-01,34631.0,30568.0,4050.0,118583.0,3.4,4238.0,8935.0,2056.0
2019-04-01,34986.0,31521.0,4056.0,118360.0,3.4,4285.0,9705.0,2150.0
2019-07-01,35280.0,31528.0,4293.0,117017.0,3.3,4282.0,7763.0,3096.0
2019-10-01,35838.0,30264.0,4201.0,113516.0,3.2,4344.0,7429.0,2431.0
2020-01-01,28568.0,24174.0,4042.0,111950.0,3.5,4374.0,8684.0,2788.0
2020-04-01,21595.0,18977.0,5391.0,108331.0,4.3,4371.0,10028.0,3853.0
2020-07-01,31635.0,27282.0,5109.0,106818.0,4.0,4303.0,11406.0,2817.0
2020-10-01,29034.0,26796.0,4904.0,107546.0,3.5,4351.0,11304.0,2597.0
2021-01-01,35506.0,29694.0,4103.0,103948.0,3.2,4392.0,9951.0,2890.0
2021-04-01,32477.0,30189.0,4030.0,105258.0,3.1,4424.0,9833.0,3305.0
2021-07-01,30766.0,30202.0,4203.0,106901.0,3.4,4453.0,9806.0,3613.0
2021-10-01,31665.0,29055.0,3823.0,107092.0,3.4,4533.0,9784.0,4031.0
2022-01-01,33554.0,28813.0,4630.0,104763.0,3.2,4540.0,9534.0,3703.0
2022-04-01,29626.0,29534.0,4415.0,108902.0,3.4,4645.0,7781.0,3911.0
2022-07-01,26899.0,28526.0,4183.0,113124.0,4.0,4727.0,9137.0,2784.0
2022-10-01,23144.0,29292.0,4298.0,121457.0,4.9,4803.0,9768.0,2703.0
2023-01-01,20838.0,25648.0,4391.0,127388.0,5.8,4802.0,9444.0,2688.0
2023-04-01,18902.0,22505.0,4003.0,131799.0,6.6,4824.0,10834.0,1747.0
2023-07-01,16674.0,19355.0,3822.0,134115.0,7.5,4773.0,10405.0,3913.0
2023-10-01,15942.0,16059.0,3812.0,132175.0,8.1,4815.0,13641.0,2124.0
2024-01-01,16237.0,16433.0,3258.0,130732.0,8.1,4808.0,12864.0,2366.0
2024-04-01,17260.0,15645.0,3093.0,127266.0,7.6,4719.0,14892.0,1981.0
2024-07-01,18109.0,13841.0,3230.0,122502.0,6.9,4721.0,11823.0,1708.0
2024-10-01,17822.0,16185.0,3051.0,119360.0,6.6,4752.0,11749.0,2130.0
2025-01-01,16362.0,19905.0,2574.0,121325.0,7.1,4886.0,11211.0,2893.0
2025-04-01,16465.0,18968.0,2712.0,122302.0,7.5,4944.0,11343.0,2914.0
2025-07-01,16802.0,18819.0,2593.0,123315.0,7.4,4890.0,11929.0,2827.0
2025-10-01,15969.0,16993.0,2588.0,124411.0,7.6,4946.0,10588.0,2586.0
2026-01-01,16917.0,15752.0,2765.0,122128.0,7.4,4992.0,11425.0,2112.0
2026-04-01,16112.0,17499.0,2893.0,124027.0,7.5,4996.0,10639.0,2464.0
