horizon,n,lo_off,hi_off
1,209,-51116.0,35639.2
2,208,-61929.5,44881.0
3,207,-65601.60000000002,50242.0
4,206,-68578.5,51271.0
5,205,-78544.0,55339.799999999996
6,204,-84515.30000000002,62679.9
7,203,-86136.6,70107.2
8,202,-83233.90000000001,77060.49999999999
9,201,-82353.0,83944.0
10,200,-84712.1,83821.9
11,199,-88991.6,76660.59999999999
12,198,-88280.30000000002,77240.59999999999
13,197,-95759.40000000001,81847.2
14,196,-101679.5,92079.5
15,195,-106250.99999999999,98130.4
16,194,-110587.0000000001,98578.4
17,193,-112238.80000000003,101240.0
18,192,-117923.20000000004,109936.5
