Date,Type,Niveau,SurfacePermis,SurfaceChantiers
2013-01-01,Commerce et services,Destination,722683,421760
2013-01-01,Exploitation agricole ou forestière,Destination,986247,292693
2013-01-01,"Industrie, entrepôts et bureaux",Destination,1340715,690322
2013-01-01,Équipements publics,Destination,634621,424823
2013-01-01,Bureaux,Sous-destination,403958,268625
2013-01-01,Entrepôts,Sous-destination,431069,196353
2013-01-01,Hôtels,Sous-destination,107055,62870
2013-01-01,Industrie,Sous-destination,492186,205111
2013-02-01,Commerce et services,Destination,659852,400327
2013-02-01,Exploitation agricole ou forestière,Destination,905214,358447
2013-02-01,"Industrie, entrepôts et bureaux",Destination,1137475,689715
2013-02-01,Équipements publics,Destination,610710,391607
2013-02-01,Bureaux,Sous-destination,489199,245709
2013-02-01,Entrepôts,Sous-destination,304803,216750
2013-02-01,Hôtels,Sous-destination,66182,31919
2013-02-01,Industrie,Sous-destination,367018,197778
2013-03-01,Commerce et services,Destination,597419,438358
2013-03-01,Exploitation agricole ou forestière,Destination,945566,370601
2013-03-01,"Industrie, entrepôts et bureaux",Destination,1297904,807886
2013-03-01,Équipements publics,Destination,555490,630747
2013-03-01,Bureaux,Sous-destination,386098,304223
2013-03-01,Entrepôts,Sous-destination,698682,241081
2013-03-01,Hôtels,Sous-destination,88790,27635
2013-03-01,Industrie,Sous-destination,325226,233228
2013-04-01,Commerce et services,Destination,607172,473081
2013-04-01,Exploitation agricole ou forestière,Destination,980818,466964
2013-04-01,"Industrie, entrepôts et bureaux",Destination,1036914,689611
2013-04-01,Équipements publics,Destination,596363,480600
2013-04-01,Bureaux,Sous-destination,347077,276036
2013-04-01,Entrepôts,Sous-destination,426970,250068
2013-04-01,Hôtels,Sous-destination,71862,74474
2013-04-01,Industrie,Sous-destination,317468,193315
2013-05-01,Commerce et services,Destination,671024,536123
2013-05-01,Exploitation agricole ou forestière,Destination,1029285,553652
2013-05-01,"Industrie, entrepôts et bureaux",Destination,1215636,1025727
2013-05-01,Équipements publics,Destination,644818,560437
2013-05-01,Bureaux,Sous-destination,516742,401393
2013-05-01,Entrepôts,Sous-destination,478685,346510
2013-05-01,Hôtels,Sous-destination,69235,64440
2013-05-01,Industrie,Sous-destination,310946,283507
2013-06-01,Commerce et services,Destination,608240,439099
2013-06-01,Exploitation agricole ou forestière,Destination,989452,538085
2013-06-01,"Industrie, entrepôts et bureaux",Destination,1011476,860935
2013-06-01,Équipements publics,Destination,671910,430115
2013-06-01,Bureaux,Sous-destination,371480,295119
2013-06-01,Entrepôts,Sous-destination,423825,317405
2013-06-01,Hôtels,Sous-destination,104086,59107
2013-06-01,Industrie,Sous-destination,220220,179789
2013-07-01,Commerce et services,Destination,585725,419615
2013-07-01,Exploitation agricole ou forestière,Destination,1090851,524646
2013-07-01,"Industrie, entrepôts et bureaux",Destination,1089781,769637
2013-07-01,Équipements publics,Destination,586980,477490
2013-07-01,Bureaux,Sous-destination,383019,181960
2013-07-01,Entrepôts,Sous-destination,421758,398860
2013-07-01,Hôtels,Sous-destination,74939,37576
2013-07-01,Industrie,Sous-destination,245572,202414
2013-08-01,Commerce et services,Destination,616385,356498
2013-08-01,Exploitation agricole ou forestière,Destination,1004820,449935
2013-08-01,"Industrie, entrepôts et bureaux",Destination,1068374,814352
2013-08-01,Équipements publics,Destination,620823,412591
2013-08-01,Bureaux,Sous-destination,297261,270980
2013-08-01,Entrepôts,Sous-destination,394278,363620
2013-08-01,Hôtels,Sous-destination,91214,32849
2013-08-01,Industrie,Sous-destination,288540,258781
2013-09-01,Commerce et services,Destination,657170,400195
2013-09-01,Exploitation agricole ou forestière,Destination,1212287,521260
2013-09-01,"Industrie, entrepôts et bureaux",Destination,1072352,765249
2013-09-01,Équipements publics,Destination,557744,458130
2013-09-01,Bureaux,Sous-destination,285898,270693
2013-09-01,Entrepôts,Sous-destination,454215,278244
2013-09-01,Hôtels,Sous-destination,61329,55221
2013-09-01,Industrie,Sous-destination,250559,209217
2013-10-01,Commerce et services,Destination,784843,465056
2013-10-01,Exploitation agricole ou forestière,Destination,941242,518024
2013-10-01,"Industrie, entrepôts et bureaux",Destination,1182515,883807
2013-10-01,Équipements publics,Destination,654500,479736
2013-10-01,Bureaux,Sous-destination,428751,351244
2013-10-01,Entrepôts,Sous-destination,358079,270499
2013-10-01,Hôtels,Sous-destination,112689,70460
2013-10-01,Industrie,Sous-destination,291179,251144
2013-11-01,Commerce et services,Destination,632951,329865
2013-11-01,Exploitation agricole ou forestière,Destination,824978,544094
2013-11-01,"Industrie, entrepôts et bureaux",Destination,1187505,718411
2013-11-01,Équipements publics,Destination,492437,474667
2013-11-01,Bureaux,Sous-destination,450546,219697
2013-11-01,Entrepôts,Sous-destination,503467,261889
2013-11-01,Hôtels,Sous-destination,67245,48821
2013-11-01,Industrie,Sous-destination,281855,202925
2013-12-01,Commerce et services,Destination,613859,358933
2013-12-01,Exploitation agricole ou forestière,Destination,866870,551915
2013-12-01,"Industrie, entrepôts et bureaux",Destination,1364832,731038
2013-12-01,Équipements publics,Destination,482389,504891
2013-12-01,Bureaux,Sous-destination,733228,265626
2013-12-01,Entrepôts,Sous-destination,399334,249099
2013-12-01,Hôtels,Sous-destination,71677,63108
2013-12-01,Industrie,Sous-destination,232926,201308
2014-01-01,Commerce et services,Destination,539427,348260
2014-01-01,Exploitation agricole ou forestière,Destination,739653,543051
2014-01-01,"Industrie, entrepôts et bureaux",Destination,1160943,633941
2014-01-01,Équipements publics,Destination,546044,501655
2014-01-01,Bureaux,Sous-destination,512048,199299
2014-01-01,Entrepôts,Sous-destination,385897,219112
2014-01-01,Hôtels,Sous-destination,72960,40834
2014-01-01,Industrie,Sous-destination,291589,214590
2014-02-01,Commerce et services,Destination,661502,343564
2014-02-01,Exploitation agricole ou forestière,Destination,612494,584434
2014-02-01,"Industrie, entrepôts et bureaux",Destination,1126508,823851
2014-02-01,Équipements publics,Destination,437479,452078
2014-02-01,Bureaux,Sous-destination,351845,226630
2014-02-01,Entrepôts,Sous-destination,472979,322408
2014-02-01,Hôtels,Sous-destination,92042,59120
