Date,Insee_Confiance_Menages,Credit_Logement_Taux_Interet,Euribor_3M,OAT_10ans,Intentions_Achat_Logement,Taux_Chomage_BIT,Prix_Ancien_Ensemble,Prix_Ancien_Appartements,Prix_Ancien_Maisons,Prix_Neuf,Production_Credits_Habitat,Production_Credits_Pure,Production_Credits_Renego,Demande_Credit_Realisee,Demande_Credit_Perspectives,Reno_Activite_Batiment,Reno_Activite_Prevue
2001-01-01,127.0,,4.7707273,4.94,-80.0,7.8,51.5,45.3,57.1,53.9,,,,,,49.7,7.0
2001-02-01,125.0,,4.7558,4.93,-80.0,,,,,,,,,,,43.8,7.3
2001-03-01,123.0,,4.7086364,4.84,-80.0,,,,,,,,,,,37.8,9.7
2001-04-01,121.0,,4.682,5.0,-80.0,7.7,52.6,46.1,58.6,54.6,,,,,,5.0,5.4
2001-05-01,117.0,,4.6366818,5.21,-78.0,,,,,,,,,,,25.4,9.6
2001-06-01,115.0,,4.4535714,5.15,-82.0,,,,,,,,,,,16.2,2.0
2001-07-01,115.0,,4.4671364,5.15,-82.0,7.7,53.4,46.9,59.4,55.1,,,,,,18.9,-5.4
2001-08-01,113.0,,4.3535217,4.95,-81.0,,,,,,,,,,,9.7,-7.0
2001-09-01,111.0,,3.98285,4.94,-82.0,,,,,,,,,,,1.9,-7.8
2001-10-01,111.0,,3.5998696,4.72,-80.0,7.8,54.4,47.9,60.3,56.8,,,,,,0.4,-10.2
2001-11-01,112.0,,3.3856818,4.57,-80.0,,,,,,,,,,,-6.5,-13.2
2001-12-01,113.0,,3.3448889,4.87,-80.0,,,,,,,,,,,-5.6,-18.3
2002-01-01,112.0,,3.3387727,4.93,-81.0,7.8,55.3,48.7,61.4,57.7,,,,,,-10.6,-13.6
2002-02-01,112.0,,3.3571,4.99,-81.0,,,,,,,,,,,-8.5,-9.4
2002-03-01,112.0,,3.3908,5.24,-80.0,,,,,,,,,,,-4.8,-8.6
2002-04-01,110.0,,3.4069048,5.24,-81.0,7.9,56.7,50.0,62.8,58.8,,,,,,-6.9,-7.2
2002-05-01,114.0,,3.4671364,5.26,-81.0,,,,,,,,,,,-2.9,-8.0
2002-06-01,113.0,,3.464,5.11,-81.0,,,,,,,,,,,-6.4,-7.0
2002-07-01,110.0,,3.41,4.96,-83.0,7.9,58.3,51.6,64.4,59.6,,,,,,-15.6,-5.6
2002-08-01,110.0,,3.3519091,4.67,-81.0,,,,,,,,,,,-18.6,-14.5
2002-09-01,108.0,,3.3101429,4.46,-80.0,,,,,,,,,,,-19.7,-22.7
2002-10-01,109.0,,3.2612609,4.55,-80.0,7.9,59.9,53.2,65.9,60.8,,,,,,-11.2,-25.5
2002-11-01,109.0,,3.1241429,4.53,-80.0,,,,,,,,,,,-19.7,-23.7
2002-12-01,109.0,,2.94105,4.38,-80.0,,,,,,,,,,,-23.8,-24.2
2003-01-01,106.0,4.8,2.8318182,4.22,-79.0,8.4,61.5,54.8,67.4,62.2,4.316,,,45.45454406738281,-36.3636360168457,-9.1,-30.7
2003-02-01,103.0,4.85,2.68745,4.01,-80.0,,,,,,4.96,,,,,-15.3,-24.7
2003-03-01,99.0,4.71,2.5299524,4.1,-80.0,,,,,,5.527,,,,,-19.7,-27.4
2003-04-01,100.0,4.59,2.53335,4.22,-78.0,8.5,63.4,56.8,69.2,63.4,5.689,,,33.33333206176758,-8.333333015441895,-17.5,-25.4
2003-05-01,102.0,4.48,2.4005238,3.89,-80.0,,,,,,5.695,,,,,-14.6,-18.5
2003-06-01,102.0,4.43,2.1518571,3.69,-79.0,,,,,,7.197,,,,,-17.4,-23.9
2003-07-01,101.0,4.24,2.1300435,4.01,-79.0,8.4,65.2,58.6,71.1,64.9,9.204,,,58.33333206176758,0.0,-22.1,-19.0
2003-08-01,101.0,4.16,2.1404286,4.16,-79.0,,,,,,6.63,,,,,-12.9,-15.4
2003-09-01,101.0,4.17,2.1473182,4.23,-79.0,,,,,,7.257,,,,,-1.9,-11.2
