Date,Company,CA_MEUR
2018-01-01,Hexaom,190.1
2018-04-01,Hexaom,221.1
2018-07-01,Hexaom,170.7
2018-10-01,Hexaom,222.3
2019-01-01,Hexaom,201.1
2019-04-01,Hexaom,216.7
2019-07-01,Hexaom,183.6
2019-10-01,Hexaom,239.4
2020-01-01,Hexaom,195.8
2020-04-01,Hexaom,201.7
2020-07-01,Hexaom,211.5
2020-10-01,Hexaom,272.3
2021-01-01,Hexaom,230.6
2021-04-01,Hexaom,268.8
2021-07-01,Hexaom,208.1
2021-10-01,Hexaom,289.1
2022-01-01,Hexaom,260.6
2022-04-01,Hexaom,289.2
2022-07-01,Hexaom,215.8
2022-10-01,Hexaom,299.7
2023-01-01,Hexaom,278.6
2023-04-01,Hexaom,307.5
2023-07-01,Hexaom,169.5
2023-10-01,Hexaom,260.6
2024-01-01,Hexaom,221.8
2024-04-01,Hexaom,196.6
2024-07-01,Hexaom,144.7
2024-10-01,Hexaom,164.1
2025-01-01,Hexaom,144.4
2025-04-01,Hexaom,161.0
2025-07-01,Hexaom,137.5
2025-10-01,Hexaom,173.4
2023-01-01,Kingfisher France,1294.6
2023-04-01,Kingfisher France,1386.2
2023-07-01,Kingfisher France,1199.4
2023-10-01,Kingfisher France,1045.2
2024-01-01,Kingfisher France,1190.2
2024-04-01,Kingfisher France,1244.7
2024-07-01,Kingfisher France,1121.7
2024-10-01,Kingfisher France,947.7
