Date,Region,Department,Type,Permis,MisesEnChantier,SurfacePermis,SurfaceChantiers
2000-01-01,France,France,Logement Collectif,10868,8102,701429,530981
2000-01-01,France,France,Logement en Résidence,1041,1065,55830,47564
2000-01-01,France,France,Maison Individuelle Groupée,3418,2818,327858,251726
2000-01-01,France,France,Maison Individuelle Pure,16907,14830,2224312,1829902
2000-02-01,France,France,Logement Collectif,9941,10352,672891,704254
2000-02-01,France,France,Logement en Résidence,1044,930,55952,37164
2000-02-01,France,France,Maison Individuelle Groupée,3146,3603,307601,317813
2000-02-01,France,France,Maison Individuelle Pure,16786,15123,2084966,1851476
2000-03-01,France,France,Logement Collectif,11757,10736,781422,710000
2000-03-01,France,France,Logement en Résidence,1278,1049,52851,47545
2000-03-01,France,France,Maison Individuelle Groupée,3311,2790,321191,261012
2000-03-01,France,France,Maison Individuelle Pure,16137,15544,2013690,1936822
2000-04-01,France,France,Logement Collectif,13005,7711,941565,524606
2000-04-01,France,France,Logement en Résidence,1721,994,92947,48327
2000-04-01,France,France,Maison Individuelle Groupée,3204,2772,301438,248395
2000-04-01,France,France,Maison Individuelle Pure,16422,14821,2044555,1844070
2000-05-01,France,France,Logement Collectif,14539,10073,1030590,700831
2000-05-01,France,France,Logement en Résidence,1447,550,83074,23379
2000-05-01,France,France,Maison Individuelle Groupée,3592,3352,340040,304888
2000-05-01,France,France,Maison Individuelle Pure,16470,15422,2054900,1928858
2000-06-01,France,France,Logement Collectif,12009,9383,854156,648233
2000-06-01,France,France,Logement en Résidence,1231,834,56832,33130
2000-06-01,France,France,Maison Individuelle Groupée,3892,2590,366454,238643
2000-06-01,France,France,Maison Individuelle Pure,15360,14759,1916389,1851078
2000-07-01,France,France,Logement Collectif,12932,9687,894504,680679
2000-07-01,France,France,Logement en Résidence,882,534,48838,25080
2000-07-01,France,France,Maison Individuelle Groupée,3942,2309,387348,225224
2000-07-01,France,France,Maison Individuelle Pure,16048,14456,2021423,1815136
2000-08-01,France,France,Logement Collectif,12635,11932,892318,798429
2000-08-01,France,France,Logement en Résidence,1046,1078,54712,47101
2000-08-01,France,France,Maison Individuelle Groupée,3632,3350,335277,312611
2000-08-01,France,France,Maison Individuelle Pure,15210,15685,1907148,1958779
2000-09-01,France,France,Logement Collectif,10524,10215,739921,713382
2000-09-01,France,France,Logement en Résidence,1272,644,62181,32016
2000-09-01,France,France,Maison Individuelle Groupée,3629,2855,349740,273006
2000-09-01,France,France,Maison Individuelle Pure,15622,14225,1961126,1780501
2000-10-01,France,France,Logement Collectif,11585,10098,823697,682545
2000-10-01,France,France,Logement en Résidence,964,749,50065,41661
2000-10-01,France,France,Maison Individuelle Groupée,3602,2740,329280,261045
2000-10-01,France,France,Maison Individuelle Pure,15160,14297,1889218,1801736
2000-11-01,France,France,Logement Collectif,13254,9579,921111,675570
2000-11-01,France,France,Logement en Résidence,971,1389,51412,63153
2000-11-01,France,France,Maison Individuelle Groupée,4310,2683,388709,230649
2000-11-01,France,France,Maison Individuelle Pure,15338,14017,1897104,1757639
2000-12-01,France,France,Logement Collectif,11069,8851,774327,598189
2000-12-01,France,France,Logement en Résidence,1265,753,50508,37399
2000-12-01,France,France,Maison Individuelle Groupée,3679,3112,346933,281809
2000-12-01,France,France,Maison Individuelle Pure,15835,15555,1972553,1925529
2001-01-01,France,France,Logement Collectif,11391,10428,788186,714328
2001-01-01,France,France,Logement en Résidence,1014,730,57356,29955
2001-01-01,France,France,Maison Individuelle Groupée,3920,2993,384080,292607
2001-01-01,France,France,Maison Individuelle Pure,14843,14756,1842978,1835231
2001-02-01,France,France,Logement Collectif,12007,9323,836891,662160
2001-02-01,France,France,Logement en Résidence,1621,1192,69913,40918
2001-02-01,France,France,Maison Individuelle Groupée,4144,2920,383853,274770
2001-02-01,France,France,Maison Individuelle Pure,15328,14585,1934340,1805653
2001-03-01,France,France,Logement Collectif,11883,8952,838152,641868
2001-03-01,France,France,Logement en Résidence,1327,981,62695,51454
2001-03-01,France,France,Maison Individuelle Groupée,4286,3021,391508,286035
2001-03-01,France,France,Maison Individuelle Pure,15658,13743,1976055,1718053
2001-04-01,France,France,Logement Collectif,9018,10826,622242,759040
2001-04-01,France,France,Logement en Résidence,983,1071,51176,44481
2001-04-01,France,France,Maison Individuelle Groupée,3169,3102,304313,295808
2001-04-01,France,France,Maison Individuelle Pure,15402,14083,1932746,1774476
2001-05-01,France,France,Logement Collectif,10947,10192,767448,715930
2001-05-01,France,France,Logement en Résidence,1000,842,63488,44693
2001-05-01,France,France,Maison Individuelle Groupée,3661,3091,337190,302089
