Department,Millesime,Population,Pop65Plus,ResidencesPrincipales,RPProprietaires,RPMaisons,Logements,LogementsVacants,PopUnAnPlus,ArriveesHorsDep,Actifs1564,Chomeurs1564,RPProprietaires65Plus,RPTotalAge,NiveauVieMedian,TauxPauvrete,PartProprietaires,PartMaisons,TauxVacance,Part65Plus,TauxArrivee,TauxChomage,PartRP65Plus,SoldeMigratoire
01,2012,612191,94516,251298,156761,163991,289259,21557,603936,25839,300634,29323,,,,,62.3805,65.2576,7.45249,15.439,4.27843,9.75372,,0.910587
01,2017,643350,111207,270417,168717,174973,313061,25269,635556,25444,313762,32602,,,,,62.3914,64.7049,8.07159,17.2856,4.00342,10.3907,,0.604485
01,2023,679344,129318,294496,184867,187318,338914,25966,672083,25672,333779,28862,60861,294496,27990,12,62.774,63.6063,7.66153,19.0357,3.81977,8.64704,20.6662,0.67449
02,2012,540843,92163,227182,141045,173524,258110,21348,533857,13524,242671,40770,,,,,62.0846,76.3811,8.27089,17.0406,2.53326,16.8005,,-0.121915
02,2017,534490,105311,230554,142239,176369,265548,25621,528602,12192,235994,41983,,,,,61.6944,76.4979,9.64835,19.7031,2.30646,17.7899,,-0.375377
02,2023,523342,115228,233915,144434,178030,269720,26679,518250,12209,232748,35723,55832,233915,23360,19,61.7464,76.1088,9.89137,22.0177,2.35581,15.3484,23.8685,-0.245592
03,2012,342911,82220,161133,102332,117956,203119,27196,339591,10265,147070,19061,,,,,63.5078,73.2041,13.3892,23.9771,3.02275,12.9605,,0.217537
03,2017,337988,90207,162433,105303,119730,207725,30143,334971,10614,143036,20013,,,,,64.8286,73.7104,14.511,26.6894,3.16863,13.9916,,0.0664896
03,2023,333298,96438,164718,107614,121621,210435,30370,330645,10732,141112,16765,47868,164718,24430,16,65.3323,73.8359,14.432,28.9345,3.24578,11.8806,29.0606,0.308689
04,2012,161241,36553,73890,43260,48979,122087,10007,159588,7256,70546,9328,,,,,58.5465,66.2864,8.19661,22.6698,4.54671,13.2226,,0.704057
04,2017,163915,41596,77250,45822,52365,127940,10641,162454,6513,70689,10315,,,,,59.3165,67.7864,8.31718,25.3766,4.00913,14.5921,,0.481143
04,2023,168054,46759,82253,49121,55132,133546,10716,166747,6391,72109,7836,22365,82253,24240,19,59.7194,67.0273,8.0242,27.8238,3.83275,10.8669,27.1905,0.807939
05,2012,139554,29079,63636,37579,33810,130368,7791,138053,5740,64287,6160,,,,,59.0531,53.1303,5.97616,20.8371,4.15782,9.58203,,0.946997
05,2017,141284,33183,65715,39270,35740,135493,8436,140003,5325,64127,6801,,,,,59.758,54.3864,6.22615,23.4867,3.80349,10.6055,,0.232168
05,2023,143467,37830,69994,42995,38243,141875,7781,142268,4756,64777,5644,18733,69994,25060,14,61.4267,54.6375,5.48441,26.3684,3.34299,8.71297,26.7637,0.459594
06,2012,1082014,243363,503022,274549,133713,741301,62667,1070043,32254,489116,61671,,,,,54.5799,26.5819,8.45365,22.4917,3.01427,12.6087,,-0.0963357
06,2017,1083310,261972,509479,280586,132788,766748,65117,1072120,27943,485490,66451,,,,,55.0731,26.0635,8.49262,24.1826,2.60633,13.6874,,-0.0353785
06,2023,1128418,282337,543316,300332,138969,803375,62569,1118224,28694,511870,55929,130349,543316,26380,18,55.2776,25.5779,7.78827,25.0206,2.56603,10.9264,23.9914,0.785217
07,2012,318407,68351,139382,92986,101970,191797,17071,314904,13368,140241,17874,,,,,66.7131,73.1587,8.90056,21.4666,4.2451,12.7452,,0.552712
07,2017,325712,78415,146535,97776,107718,203015,19746,322568,12646,143011,20126,,,,,66.7254,73.5101,9.72637,24.0749,3.92041,14.073,,0.558719
07,2023,334231,88343,156393,104893,115756,213609,19633,331352,12565,147694,16004,43373,156393,24820,16,67.0701,74.0161,9.19109,26.4317,3.79204,10.8359,27.7333,0.765451
08,2012,282778,49925,122265,72722,86530,140081,12791,279325,5278,125917,20266,,,,,59.479,70.7725,9.13115,17.6552,1.88956,16.0947,,-0.295418
08,2017,273579,56615,121784,73426,87931,142452,15754,270580,5091,121021,20441,,,,,60.292,72.2024,11.0592,20.6942,1.88151,16.8905,,-0.691426
08,2023,265893,61813,122646,73940,89097,144759,16311,263390,4790,118517,17027,29108,122646,23500,20,60.2873,72.6457,11.2677,23.2473,1.8186,14.3667,23.7333,-0.255868
09,2012,152366,35113,69442,46344,56271,105258,9656,150879,6389,66270,9571,,,,,66.7377,81.0331,9.17365,23.0452,4.23452,14.4424,,0.64913
09,2017,153153,38870,71654,47522,58081,109392,10643,151750,5647,66171,10433,,,,,66.3215,81.0576,9.72923,25.3798,3.72125,15.7667,,0.387225
09,2023,155722,43297,75913,50582,61107,112208,9348,154502,5823,68171,8929,22487,75913,23360,20,66.6315,80.4961,8.33096,27.804,3.76888,13.0979,29.6221,0.777001
10,2012,305606,57665,135644,80368,90425,156857,14368,301752,9056,137306,19651,,,,,59.2492,66.6635,9.15994,18.8691,3.00114,14.3118,,0.103776
10,2017,310020,64926,141267,81673,93355,164453,15682,306694,8762,137774,23243,,,,,57.8146,66.0841,9.53586,20.9425,2.85692,16.8704,,0.170023
10,2023,310447,71201,145045,84066,96028,169440,15448,307460,8871,137983,18695,33320,145045,24130,18,57.9586,66.2057,9.11709,22.935,2.88525,13.5488,22.9722,0.102413
11,2012,362339,81493,162615,102693,122873,246735,20502,358293,16312,153407,26513,,,,,63.151,75.5607,8.30932,22.4908,4.5527,17.2828,,0.967323
11,2017,370260,93269,171947,107539,128783,261180,23016,366817,14121,155399,28634,,,,,62.5419,74.8969,8.81231,25.1901,3.8496,18.4261,,0.60678
11,2023,379648,105166,183141,114325,136056,273100,21192,376607,14086,158823,23296,51999,183141,23060,21,62.4246,74.2903,7.75979,27.7009,3.74024,14.6679,28.3929,0.797413
12,2012,276229,68264,125545,87278,89750,173956,17876,273436,9016,121772,11194,,,,,69.5193,71.4883,10.2762,24.7128,3.2973,9.19259,,0.299244
12,2017,279206,74991,129812,90123,93843,181053,19894,276680,8642,121177,11975,,,,,69.4258,72.2915,10.9879,26.8587,3.12346,9.88224,,0.563952
12,2023,279609,80040,134557,93747,97477,186763,20696,277508,8946,122668,10146,40855,134557,24780,14,69.6708,72.4429,11.0814,28.6257,3.22369,8.27111,30.3626,0.519986
13,2012,1984784,359107,860051,438362,335352,964368,67149,1960238,55578,883174,134002,,,,,50.9693,38.9921,6.96301,18.093,2.83527,15.1728,,-0.116911
13,2017,2024162,405109,898432,457011,346220,1021226,76411,2000776,51218,887341,132285,,,,,50.8676,38.536,7.48228,20.0137,2.55991,14.908,,-0.0556232
13,2023,2087658,443568,959660,487403,359316,1090066,77571,2066205,47409,933138,107881,192307,959660,25610,20,50.7891,37.442,7.11617,21.2472,2.2945,11.5611,20.0391,0.245641
14,2012,687304,123013,300724,170890,197159,394027,22844,679106,19720,314914,38692,,,,,56.8262,65.5614,5.79757,17.8979,2.90382,12.2865,,0.156816
14,2017,694002,143486,312791,178305,204990,416115,28738,686826,19758,313200,40399,,,,,57.0045,65.5358,6.90626,20.6752,2.87671,12.8988,,0.0593333
14,2023,709441,165780,333372,191390,214774,439517,27406,702872,20060,325399,33367,76500,333372,25600,14,57.4103,64.4247,6.23548,23.3677,2.854,10.2542,22.9473,0.471348
15,2012,147415,36416,67979,47277,50085,98822,10690,146030,4409,65822,5539,,,,,69.5465,73.6772,10.8174,24.703,3.01924,8.41512,,0.106805
15,2017,145143,39666,68632,48405,51462,101363,12103,144002,4452,64094,5640,,,,,70.5283,74.9825,11.9403,27.3289,3.09162,8.79958,,0.255334
15,2023,144196,43141,70493,50133,52763,103584,11561,143177,4448,62972,4219,22323,70493,24820,14,71.1177,74.8486,11.161,29.9183,3.10664,6.6998,31.667,0.646604
16,2012,353657,77860,160541,107514,132646,191254,18991,349996,11678,159219,20618,,,,,66.9698,82.6244,9.92973,22.0157,3.33661,12.9495,,0.297996
16,2017,352335,86235,163566,109247,135416,197059,21228,349229,10767,157555,22212,,,,,66.7908,82.7898,10.7724,24.4753,3.08308,14.0979,,0.101794
16,2023,352683,95363,170191,113917,140194,203479,20333,349854,11195,157950,17757,48334,170191,24850,15,66.9348,82.3745,9.99268,27.0393,3.19991,11.2422,28.3999,0.407992
17,2012,628733,146354,290296,189250,227929,409655,28260,622379,25831,272407,37576,,,,,65.1921,78.5161,6.89849,23.2776,4.15036,13.7941,,0.852051
17,2017,644303,171598,305740,198795,239674,431948,30812,639043,24777,274809,39846,,,,,65.0209,78.3914,7.13327,26.6331,3.8772,14.4995,,0.768402
17,2023,672279,200061,329366,217267,257039,461993,30259,667389,25036,287884,31553,101418,329366,25710,13,65.9652,78.0405,6.54967,29.7586,3.75134,10.9603,30.7919,1.22329
18,2012,311897,69101,142116,94023,112431,174264,18892,308673,9894,138667,18401,,,,,66.1593,79.1121,10.841,22.1551,3.20533,13.2699,,-0.0952959
18,2017,304256,76193,141923,94983,114265,178580,23200,301437,9164,132672,18405,,,,,66.9257,80.512,12.9914,25.0424,3.0401,13.8726,,-0.279259
18,2023,298660,80573,144070,97665,115863,179931,22012,296067,9175,130086,15051,41548,144070,24730,16,67.79,80.4213,12.2336,26.9782,3.09896,11.57,28.8388,0.11876
19,2012,241247,59358,111118,75426,85036,150479,16729,239096,8156,105598,10227,,,,,67.8792,76.5277,11.1172,24.6047,3.41118,9.68484,,0.216743
19,2017,241464,64555,113903,77806,88175,154124,16789,239438,8284,104622,11513,,,,,68.309,77.4124,10.8932,26.7348,3.45977,11.0044,,0.466327
19,2023,240826,69353,117283,80918,90893,157660,17121,238888,8346,104493,9647,36110,117283,24910,14,68.9938,77.4989,10.8594,28.798,3.49369,9.2322,30.7888,0.523128
