"ANNEE";"MOIS";"NAT_SERIES";"DESTINATION";"SDP_AUT";"SDP_COM"
2026;7;"Brute";"Ensemble des locaux non-residentiels";3229606;1829881
2026;7;"Brute";"Exploitation agricole";864863;444570
2026;7;"Brute";"Commerce";597454;257556
2026;7;"Brute";"Commerce - hotels";91258;34992
2026;7;"Brute";"Services publics";316310;351855
2026;7;"Brute";"Autres activites";1450975;775899
2026;7;"Brute";"Autres activites - industrie";478150;233856
2026;7;"Brute";"Autres activites - entrepot";684556;378934
2026;7;"Brute";"Autres activites - bureau";282224;162927
2026;7;"CVS-CJO";"Ensemble des locaux non-residentiels";2818982;1692095
2026;7;"CVS-CJO";"Exploitation agricole";721793;394102
2026;7;"CVS-CJO";"Commerce";525694;293945
2026;7;"CVS-CJO";"Commerce - hotels";91258;34992
2026;7;"CVS-CJO";"Services publics";300170;363026
2026;7;"CVS-CJO";"Autres activites";1271325;641022
2026;7;"CVS-CJO";"Autres activites - industrie";445237;203525
2026;7;"CVS-CJO";"Autres activites - entrepot";566986;348220
2026;7;"CVS-CJO";"Autres activites - bureau";248849;149591
2026;6;"Brute";"Ensemble des locaux non-residentiels";2809043;1830877
2026;6;"Brute";"Exploitation agricole";694258;412191
2026;6;"Brute";"Commerce";583429;294043
2026;6;"Brute";"Commerce - hotels";104762;32959
2026;6;"Brute";"Services publics";372934;379642
2026;6;"Brute";"Autres activites";1158426;745001
2026;6;"Brute";"Autres activites - industrie";321591;192091
2026;6;"Brute";"Autres activites - entrepot";581632;391771
2026;6;"Brute";"Autres activites - bureau";251433;161139
2026;6;"CVS-CJO";"Ensemble des locaux non-residentiels";2720600;1773182
2026;6;"CVS-CJO";"Exploitation agricole";612857;388192
2026;6;"CVS-CJO";"Commerce";531107;283893
2026;6;"CVS-CJO";"Commerce - hotels";104762;32959
2026;6;"CVS-CJO";"Services publics";358173;349906
2026;6;"CVS-CJO";"Autres activites";1218463;751191
2026;6;"CVS-CJO";"Autres activites - industrie";331095;181284
