"ANNEE";"MOIS";"TYPE_LGT";"NAT_SERIES";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2026";"06";"Collectif";"Brute";16472;14007;1235909;871734
"2026";"06";"Collectif";"CVS-CJO";14336;12723;1075643;791824
"2026";"06";"Individuel groupe";"Brute";4084;3282;389051;289754
"2026";"06";"Individuel groupe";"CVS-CJO";3392;2920;323130;257794
"2026";"06";"Individuel pur";"Brute";9434;8021;991397;913492
"2026";"06";"Individuel pur";"CVS-CJO";8373;7080;879899;806324
"2026";"06";"Residence";"Brute";5513;3244;367800;155700
"2026";"06";"Residence";"CVS-CJO";4805;2943;320566;141253
"2026";"06";"Tous Logements";"Brute";35503;28554;2984157;2230680
"2026";"06";"Tous Logements";"CVS-CJO";30906;25666;2597762;2005065
"2026";"05";"Collectif";"Brute";12446;9727;884486;601913
"2026";"05";"Collectif";"CVS-CJO";14355;12272;1020151;759399
"2026";"05";"Individuel groupe";"Brute";3411;2582;308901;223253
"2026";"05";"Individuel groupe";"CVS-CJO";3581;2938;324296;254035
"2026";"05";"Individuel pur";"Brute";7898;6687;819634;756363
"2026";"05";"Individuel pur";"CVS-CJO";8946;6891;928393;779437
"2026";"05";"Residence";"Brute";4902;2991;239700;145300
"2026";"05";"Residence";"CVS-CJO";5566;3599;272168;174836
"2026";"05";"Tous Logements";"Brute";28657;21987;2252721;1726829
"2026";"05";"Tous Logements";"CVS-CJO";32448;25700;2550731;2018443
"2026";"04";"Collectif";"Brute";11567;10763;877010;675447
"2026";"04";"Collectif";"CVS-CJO";11923;12359;904002;775606
"2026";"04";"Individuel groupe";"Brute";3177;3223;292006;286414
"2026";"04";"Individuel groupe";"CVS-CJO";3324;3257;305517;289435
"2026";"04";"Individuel pur";"Brute";8291;7308;850373;839059
"2026";"04";"Individuel pur";"CVS-CJO";8545;6819;876425;782915
"2026";"04";"Residence";"Brute";3205;3226;168200;147300
"2026";"04";"Residence";"CVS-CJO";3950;3994;207298;182367
"2026";"04";"Tous Logements";"Brute";26240;24520;2187589;1948220
"2026";"04";"Tous Logements";"CVS-CJO";27742;26429;2312808;2099898
"2026";"03";"Collectif";"Brute";22549;13599;1547864;848517
