Date,Department,Type,PrixM2Median,PrixMedian,NbVentes
2014-01-01,01,Appartement,2024.0,139000.0,365
2014-04-01,01,Appartement,1850.0,130000.0,422
2014-07-01,01,Appartement,1947.0,130000.0,444
2014-10-01,01,Appartement,2161.0,138422.0,434
2015-01-01,01,Appartement,1927.0,126500.0,386
2015-04-01,01,Appartement,1778.0,125000.0,466
2015-07-01,01,Appartement,1962.0,128000.0,499
2015-10-01,01,Appartement,2118.0,136934.0,476
2016-01-01,01,Appartement,2071.0,133966.0,435
2016-04-01,01,Appartement,2086.0,144300.0,515
2016-07-01,01,Appartement,2026.0,141272.0,560
2016-10-01,01,Appartement,2100.0,140000.0,529
2017-01-01,01,Appartement,2084.0,138000.0,557
2017-04-01,01,Appartement,2072.0,139833.0,594
2017-07-01,01,Appartement,2159.0,145000.0,607
2017-10-01,01,Appartement,2209.0,140000.0,555
2018-01-01,01,Appartement,2194.0,148800.0,513
2018-04-01,01,Appartement,3043.0,175750.0,344
2018-07-01,01,Appartement,2927.0,171650.0,344
2018-10-01,01,Appartement,3306.0,187810.0,271
2019-01-01,01,Appartement,2019.0,133300.0,603
2019-04-01,01,Appartement,2083.0,135000.0,652
2019-07-01,01,Appartement,2081.0,144000.0,733
2019-10-01,01,Appartement,2052.0,143500.0,724
2020-01-01,01,Appartement,2231.0,145000.0,630
2020-04-01,01,Appartement,2189.0,145000.0,624
2020-07-01,01,Appartement,2231.0,148000.0,693
2020-10-01,01,Appartement,2275.0,148152.0,776
2014-01-01,01,Ensemble,1885.0,160000.0,1008
2014-04-01,01,Ensemble,1800.0,158000.0,1117
2014-07-01,01,Ensemble,1915.0,175600.0,1394
2014-10-01,01,Ensemble,1903.0,168000.0,1220
2015-01-01,01,Ensemble,1859.0,166100.0,1100
2015-04-01,01,Ensemble,1825.0,164000.0,1308
2015-07-01,01,Ensemble,1876.0,175000.0,1596
2015-10-01,01,Ensemble,1913.0,171000.0,1428
2016-01-01,01,Ensemble,1917.0,166500.0,1177
2016-04-01,01,Ensemble,1914.0,171832.0,1473
2016-07-01,01,Ensemble,1899.0,173988.0,1662
2016-10-01,01,Ensemble,1903.0,167350.0,1552
2017-01-01,01,Ensemble,1880.0,168000.0,1543
2017-04-01,01,Ensemble,1943.0,170700.0,1607
2017-07-01,01,Ensemble,2029.0,184000.0,1892
2017-10-01,01,Ensemble,1978.0,175000.0,1623
2018-01-01,01,Ensemble,2044.0,175000.0,1351
2018-04-01,01,Ensemble,2145.0,189000.0,827
2018-07-01,01,Ensemble,2222.0,195000.0,876
2018-10-01,01,Ensemble,2348.0,193450.0,645
2019-01-01,01,Ensemble,1964.0,172000.0,1653
2019-04-01,01,Ensemble,2023.0,180000.0,1749
2019-07-01,01,Ensemble,2069.0,193500.0,2220
2019-10-01,01,Ensemble,2056.0,187000.0,2034
2020-01-01,01,Ensemble,2098.0,183250.0,1601
2020-04-01,01,Ensemble,2107.0,185000.0,1613
2020-07-01,01,Ensemble,2197.0,197500.0,1951
2020-10-01,01,Ensemble,2191.0,193451.0,2298
2014-01-01,01,Maison,1834.0,173020.0,643
2014-04-01,01,Maison,1791.0,176200.0,695
2014-07-01,01,Maison,1911.0,191475.0,950
2014-10-01,01,Maison,1819.0,180000.0,786
2015-01-01,01,Maison,1843.0,180000.0,714
2015-04-01,01,Maison,1840.0,180878.0,842
2015-07-01,01,Maison,1859.0,189750.0,1097
2015-10-01,01,Maison,1860.0,187148.0,952
2016-01-01,01,Maison,1870.0,181500.0,742
2016-04-01,01,Maison,1869.0,183300.0,958
2016-07-01,01,Maison,1856.0,188000.0,1102
2016-10-01,01,Maison,1833.0,180080.0,1023
2017-01-01,01,Maison,1801.0,182255.0,986
2017-04-01,01,Maison,1879.0,190000.0,1013
2017-07-01,01,Maison,1997.0,203000.0,1285
2017-10-01,01,Maison,1944.0,192035.0,1068
2018-01-01,01,Maison,1974.0,202005.0,838
2018-04-01,01,Maison,1923.0,195000.0,483
2018-07-01,01,Maison,2054.0,205995.0,532
2018-10-01,01,Maison,2018.0,196712.0,374
2019-01-01,01,Maison,1943.0,194792.0,1050
2019-04-01,01,Maison,2002.0,202650.0,1097
2019-07-01,01,Maison,2068.0,217800.0,1487
2019-10-01,01,Maison,2056.0,205720.0,1310
2020-01-01,01,Maison,2052.0,211950.0,971
2020-04-01,01,Maison,2083.0,215140.0,989
2020-07-01,01,Maison,2180.0,225675.0,1258
2020-10-01,01,Maison,2176.0,220000.0,1522
2014-01-01,02,Appartement,1266.0,75000.0,90
2014-04-01,02,Appartement,1277.0,74000.0,73
2014-07-01,02,Appartement,1342.0,73500.0,72
2014-10-01,02,Appartement,1197.0,69000.0,71
2015-01-01,02,Appartement,1226.0,70750.0,74
2015-04-01,02,Appartement,1132.0,65000.0,89
2015-07-01,02,Appartement,1233.0,60000.0,83
2015-10-01,02,Appartement,1226.0,63850.0,98
2016-01-01,02,Appartement,1121.0,69500.0,103
2016-04-01,02,Appartement,1210.0,73500.0,100
2016-07-01,02,Appartement,1120.0,67000.0,105
2016-10-01,02,Appartement,1139.0,68269.0,104
2017-01-01,02,Appartement,1217.0,76700.0,102
2017-04-01,02,Appartement,1319.0,75000.0,104
2017-07-01,02,Appartement,1216.0,74500.0,93
2017-10-01,02,Appartement,1182.0,65000.0,107
2018-01-01,02,Appartement,1222.0,65000.0,81
2018-04-01,02,Appartement,1195.0,70000.0,111
2018-07-01,02,Appartement,1302.0,75000.0,77
2019-01-01,02,Appartement,1233.0,63000.0,97
2019-04-01,02,Appartement,1095.0,66500.0,142
2019-07-01,02,Appartement,1167.0,65800.0,143
2019-10-01,02,Appartement,1164.0,62500.0,148
2020-01-01,02,Appartement,1182.0,70000.0,119
2020-04-01,02,Appartement,1168.0,60000.0,124
2020-07-01,02,Appartement,1252.0,71250.0,144
2020-10-01,02,Appartement,1280.0,74333.0,174
2014-01-01,02,Ensemble,1109.0,95000.0,898
2014-04-01,02,Ensemble,1091.0,98050.0,778
2014-07-01,02,Ensemble,1115.0,97250.0,948
2014-10-01,02,Ensemble,1078.0,90000.0,933
2015-01-01,02,Ensemble,1066.0,95000.0,888
2015-04-01,02,Ensemble,1051.0,91750.0,948
2015-07-01,02,Ensemble,1119.0,100506.0,1140
2015-10-01,02,Ensemble,1048.0,88100.0,1095
2016-01-01,02,Ensemble,1040.0,90000.0,856
2016-04-01,02,Ensemble,1048.0,89000.0,991
2016-07-01,02,Ensemble,1091.0,97000.0,1185
2016-10-01,02,Ensemble,1074.0,92000.0,1141
2017-01-01,02,Ensemble,1089.0,95000.0,1084
2017-04-01,02,Ensemble,1076.0,95850.0,1194
2017-07-01,02,Ensemble,1138.0,100000.0,1245
2017-10-01,02,Ensemble,1089.0,95000.0,1102
2018-01-01,02,Ensemble,1100.0,95500.0,1047
2018-04-01,02,Ensemble,1099.0,95000.0,1098
2018-07-01,02,Ensemble,1161.0,105000.0,789
2018-10-01,02,Ensemble,1168.0,105000.0,569
2019-01-01,02,Ensemble,1100.0,95000.0,1079
2019-04-01,02,Ensemble,1115.0,95000.0,1203
2019-07-01,02,Ensemble,1117.0,100000.0,1448
2019-10-01,02,Ensemble,1080.0,95000.0,1407
2020-01-01,02,Ensemble,1111.0,94126.0,1111
2020-04-01,02,Ensemble,1111.0,100000.0,1025
2020-07-01,02,Ensemble,1162.0,102900.0,1391
2020-10-01,02,Ensemble,1159.0,102000.0,1789
2014-01-01,02,Maison,1091.0,98500.0,808
2014-04-01,02,Maison,1085.0,100000.0,705
2014-07-01,02,Maison,1105.0,100000.0,876
2014-10-01,02,Maison,1067.0,92675.0,862
2015-01-01,02,Maison,1043.0,98000.0,814
2015-04-01,02,Maison,1038.0,95000.0,859
2015-07-01,02,Maison,1110.0,105000.0,1057
2015-10-01,02,Maison,1037.0,90100.0,997
2016-01-01,02,Maison,1020.0,92800.0,753
2016-04-01,02,Maison,1034.0,90000.0,891
2016-07-01,02,Maison,1088.0,100000.0,1080
2016-10-01,02,Maison,1060.0,95000.0,1037
2017-01-01,02,Maison,1075.0,98000.0,982
2017-04-01,02,Maison,1059.0,100000.0,1090
2017-07-01,02,Maison,1130.0,103000.0,1152
2017-10-01,02,Maison,1071.0,100000.0,995
2018-01-01,02,Maison,1087.0,99000.0,966
2018-04-01,02,Maison,1083.0,98000.0,987
2018-07-01,02,Maison,1144.0,110000.0,712
2018-10-01,02,Maison,1163.0,108000.0,529
2019-01-01,02,Maison,1079.0,98000.0,982
2019-04-01,02,Maison,1117.0,100500.0,1061
2019-07-01,02,Maison,1100.0,105000.0,1305
2019-10-01,02,Maison,1074.0,100000.0,1259
2020-01-01,02,Maison,1099.0,98000.0,992
2020-04-01,02,Maison,1100.0,105000.0,901
2020-07-01,02,Maison,1155.0,110000.0,1247
2020-10-01,02,Maison,1149.0,105500.0,1615
2014-01-01,03,Appartement,1008.0,54500.0,170
