Date,Reservations,MisesEnVente,Annulations,Encours,DelaiEcoulement,PrixM2_Collectif,Resa_Sociaux,Resa_Institutionnels
2017-01-01,33605.0,34228.0,3728.0,110545.0,3.3,3989.0,,
2017-04-01,32455.0,33865.0,3770.0,114396.0,3.5,3962.0,,
2017-07-01,35633.0,32291.0,3770.0,113623.0,3.3,3969.0,,
2017-10-01,35122.0,34148.0,3658.0,115502.0,3.3,4018.0,,
2018-01-01,33687.0,38730.0,3700.0,121712.0,3.5,4110.0,9631.0,2136.0
2018-04-01,34718.0,33743.0,3796.0,123211.0,3.6,4094.0,7307.0,1651.0
2018-07-01,33728.0,32664.0,3881.0,124022.0,3.6,4104.0,8221.0,1685.0
2018-10-01,34967.0,30448.0,4059.0,120827.0,3.5,4156.0,7455.0,2351.0
2019-01-01,34790.0,30571.0,4059.0,118575.0,3.4,4238.0,8945.0,2063.0
2019-04-01,34969.0,31544.0,4050.0,118367.0,3.4,4285.0,9686.0,2183.0
2019-07-01,35307.0,31517.0,4289.0,117020.0,3.3,4282.0,7747.0,3121.0
2019-10-01,35721.0,30229.0,4199.0,113500.0,3.2,4344.0,7577.0,2417.0
2020-01-01,28644.0,24191.0,4054.0,111940.0,3.5,4374.0,8687.0,2768.0
2020-04-01,21584.0,18991.0,5382.0,108340.0,4.3,4371.0,9990.0,3890.0
2020-07-01,31699.0,27274.0,5105.0,106822.0,4.0,4303.0,11393.0,2840.0
2020-10-01,28975.0,26758.0,4899.0,107536.0,3.5,4351.0,11276.0,2577.0
2021-01-01,35534.0,29714.0,4117.0,103935.0,3.2,4392.0,9975.0,2885.0
2021-04-01,32437.0,30234.0,4023.0,105277.0,3.1,4424.0,9784.0,3322.0
2021-07-01,30825.0,30182.0,4201.0,106916.0,3.4,4453.0,9802.0,3642.0
2021-10-01,31675.0,28975.0,3819.0,107081.0,3.4,4533.0,9816.0,3993.0
2022-01-01,33541.0,28796.0,4641.0,104679.0,3.2,4540.0,9551.0,3711.0
2022-04-01,29563.0,29630.0,4413.0,108894.0,3.5,4646.0,7724.0,3874.0
2022-07-01,26902.0,28451.0,4185.0,113099.0,4.0,4727.0,9008.0,2814.0
2022-10-01,23191.0,29130.0,4294.0,121429.0,4.8,4803.0,9795.0,2704.0
2023-01-01,20821.0,25587.0,4390.0,127178.0,5.8,4800.0,9423.0,2712.0
2023-04-01,18832.0,22544.0,4019.0,131667.0,6.6,4823.0,10773.0,1727.0
2023-07-01,16633.0,19322.0,3820.0,134007.0,7.6,4771.0,10245.0,3914.0
2023-10-01,15966.0,15891.0,3799.0,132044.0,8.1,4815.0,13473.0,2094.0
2024-01-01,16250.0,16528.0,3237.0,130449.0,8.1,4809.0,12853.0,2387.0
2024-04-01,17167.0,15743.0,3122.0,127222.0,7.6,4719.0,14686.0,1936.0
2024-07-01,18032.0,13805.0,3234.0,122501.0,7.0,4719.0,11720.0,1772.0
2024-10-01,17827.0,15834.0,3030.0,119224.0,6.6,4751.0,11273.0,2134.0
2025-01-01,16410.0,19885.0,2527.0,120818.0,7.1,4883.0,11056.0,2828.0
2025-04-01,16334.0,18707.0,2730.0,121575.0,7.4,4942.0,10933.0,2891.0
2025-07-01,16587.0,18405.0,2568.0,122172.0,7.4,4892.0,11456.0,2834.0
2025-10-01,15871.0,15969.0,2549.0,122700.0,7.6,4951.0,10361.0,2593.0
2026-01-01,16502.0,13939.0,2693.0,118927.0,7.3,4990.0,11134.0,2184.0
