Date,Insee_Confiance_Menages
1972-10-01,128
1972-11-01,129
1972-12-01,129
1973-01-01,130
1973-02-01,131
1973-03-01,132
1973-04-01,132
1973-05-01,132
1973-06-01,130
1973-07-01,128
1973-08-01,127
1973-09-01,126
1973-10-01,126
1973-11-01,124
1973-12-01,119
1974-01-01,113
1974-02-01,111
1974-03-01,112
1974-04-01,116
1974-05-01,118
1974-06-01,117
1974-07-01,115
1974-08-01,113
1974-09-01,111
1974-10-01,109
1974-11-01,108
1974-12-01,110
1975-01-01,112
1975-02-01,114
1975-03-01,116
1975-04-01,116
1975-05-01,116
1975-06-01,117
1975-07-01,117
1975-08-01,118
1975-09-01,119
1975-10-01,119
1975-11-01,120
1975-12-01,120
1976-01-01,120
1976-02-01,120
1976-03-01,121
1976-04-01,122
1976-05-01,122
1976-06-01,122
1976-07-01,120
1976-08-01,119
1976-09-01,118
1976-10-01,117
1976-11-01,116
1976-12-01,116
1977-01-01,118
1977-02-01,118
1977-03-01,116
1977-04-01,114
1977-05-01,113
1977-06-01,113
1977-07-01,115
1977-08-01,116
1977-09-01,117
1977-10-01,118
1977-11-01,119
1977-12-01,120
1978-01-01,120
1978-02-01,121
1978-03-01,121
1978-04-01,120
1978-05-01,119
1978-06-01,119
1978-07-01,118
1978-08-01,118
1978-09-01,117
1978-10-01,117
1978-11-01,116
1978-12-01,116
1979-01-01,115
1979-02-01,114
1979-03-01,113
1979-04-01,112
1979-05-01,112
1979-06-01,112
1979-07-01,112
1979-08-01,112
1979-09-01,112
1979-10-01,112
1979-11-01,111
1979-12-01,110
1980-01-01,108
1980-02-01,107
1980-03-01,106
1980-04-01,106
1980-05-01,106
1980-06-01,107
1980-07-01,107
1980-08-01,107
1980-09-01,107
1980-10-01,108
1980-11-01,108
1980-12-01,107
1981-01-01,105
1981-02-01,105
1981-03-01,107
1981-04-01,110
1981-05-01,112
1981-06-01,113
1981-07-01,112
1981-08-01,112
1981-09-01,111
1981-10-01,111
1981-11-01,112
1981-12-01,113
1982-01-01,114
1982-02-01,115
1982-03-01,115
1982-04-01,115
1982-05-01,115
1982-06-01,114
1982-07-01,113
1982-08-01,111
1982-09-01,109
1982-10-01,107
1982-11-01,107
1982-12-01,108
1983-01-01,110
1983-02-01,111
1983-03-01,108
1983-04-01,104
1983-05-01,101
1983-06-01,101
1983-07-01,101
1983-08-01,102
1983-09-01,102
1983-10-01,102
1983-11-01,102
1983-12-01,101
1984-01-01,100
1984-02-01,99
1984-03-01,99
1984-04-01,98
1984-05-01,97
1984-06-01,97
1984-07-01,97
1984-08-01,97
1984-09-01,96
1984-10-01,96
1984-11-01,96
1984-12-01,96
1985-01-01,97
1985-02-01,97
1985-03-01,98
1985-04-01,99
1985-05-01,100
1985-06-01,101
1985-07-01,102
1985-08-01,102
1985-09-01,103
1985-10-01,104
1985-11-01,105
1985-12-01,107
1986-01-01,108
1986-02-01,109
1986-03-01,110
1986-04-01,109
1986-05-01,112
1986-06-01,106
1986-07-01,107
1986-08-01,107
1986-09-01,107
1986-10-01,107
1986-11-01,106
1986-12-01,106
1987-01-01,102
1987-02-01,103
1987-03-01,102
1987-04-01,103
1987-05-01,101
1987-06-01,102
1987-07-01,102
1987-08-01,104
1987-09-01,105
1987-10-01,106
1987-11-01,106
1987-12-01,108
1988-01-01,109
1988-02-01,109
1988-03-01,110
1988-04-01,108
1988-05-01,112
1988-06-01,112
1988-07-01,112
1988-08-01,112
1988-09-01,112
1988-10-01,112
1988-11-01,114
1988-12-01,112
1989-01-01,114
1989-02-01,112
1989-03-01,111
1989-04-01,112
1989-05-01,110
1989-06-01,110
1989-07-01,112
1989-08-01,112
1989-09-01,111
1989-10-01,112
1989-11-01,112
1989-12-01,114
1990-01-01,115
1990-02-01,113
1990-03-01,114
1990-04-01,112
1990-05-01,110
1990-06-01,112
1990-07-01,113
1990-08-01,108
1990-09-01,104
1990-10-01,105
1990-11-01,104
1990-12-01,106
1991-01-01,103
1991-02-01,103
1991-03-01,108
1991-04-01,104
1991-05-01,104
1991-06-01,103
1991-07-01,102
1991-08-01,102
1991-09-01,102
1991-10-01,102
1991-11-01,102
1991-12-01,102
1992-01-01,102
1992-02-01,103
1992-03-01,103
1992-04-01,104
1992-05-01,104
1992-06-01,102
1992-07-01,102
1992-08-01,102
1992-09-01,102
1992-10-01,104
1992-11-01,103
1992-12-01,102
1993-01-01,100
1993-02-01,100
1993-03-01,101
1993-04-01,105
1993-05-01,96
1993-06-01,97
1993-07-01,96
1993-08-01,96
1993-09-01,97
1993-10-01,98
1993-11-01,100
1993-12-01,101
1994-01-01,103
1994-02-01,103
1994-03-01,103
1994-04-01,105
1994-05-01,107
1994-06-01,107
1994-07-01,108
1994-08-01,110
1994-09-01,111
1994-10-01,111
1994-11-01,110
1994-12-01,111
1995-01-01,109
1995-02-01,109
1995-03-01,109
1995-04-01,109
1995-05-01,112
1995-06-01,113
1995-07-01,111
1995-08-01,106
1995-09-01,102
1995-10-01,100
1995-11-01,98
1995-12-01,94
1996-01-01,98
1996-02-01,98
1996-03-01,98
1996-04-01,97
1996-05-01,96
1996-06-01,95
1996-07-01,95
1996-08-01,95
1996-09-01,95
1996-10-01,96
1996-11-01,97
1996-12-01,99
1997-01-01,100
1997-02-01,101
1997-03-01,99
1997-04-01,100
1997-05-01,100
1997-06-01,107
1997-07-01,106
1997-08-01,107
1997-09-01,109
1997-10-01,108
1997-11-01,108
1997-12-01,108
1998-01-01,104
1998-02-01,106
1998-03-01,110
1998-04-01,109
1998-05-01,112
1998-06-01,111
1998-07-01,115
1998-08-01,116
1998-09-01,117
1998-10-01,116
1998-11-01,115
1998-12-01,114
1999-01-01,115
1999-02-01,116
1999-03-01,115
1999-04-01,114
1999-05-01,114
1999-06-01,115
1999-07-01,116
1999-08-01,119
1999-09-01,121
1999-10-01,121
1999-11-01,122
1999-12-01,120
2000-01-01,120
2000-02-01,120
2000-03-01,121
2000-04-01,123
2000-05-01,123
2000-06-01,124
2000-07-01,125
2000-08-01,122
2000-09-01,119
2000-10-01,121
2000-11-01,120
2000-12-01,124
