Date,Credit_Logement_Taux_Interet
2003-01-01,4.8
2003-02-01,4.85
2003-03-01,4.71
2003-04-01,4.59
2003-05-01,4.48
2003-06-01,4.43
2003-07-01,4.24
2003-08-01,4.16
2003-09-01,4.17
2003-10-01,4.21
2003-11-01,4.24
2003-12-01,4.24
2004-01-01,4.26
2004-02-01,4.28
2004-03-01,4.23
2004-04-01,4.21
2004-05-01,4.06
2004-06-01,4.06
2004-07-01,4.07
2004-08-01,4.05
2004-09-01,4.08
2004-10-01,4.06
2004-11-01,4.04
2004-12-01,3.91
2005-01-01,3.92
2005-02-01,3.9
2005-03-01,3.79
2005-04-01,3.77
2005-05-01,3.76
2005-06-01,3.7
2005-07-01,3.65
2005-08-01,3.6
2005-09-01,3.57
2005-10-01,3.51
2005-11-01,3.48
2005-12-01,3.51
2006-01-01,3.52
2006-02-01,3.63
2006-03-01,3.64
2006-04-01,3.65
2006-05-01,3.69
2006-06-01,3.77
2006-07-01,3.82
2006-08-01,3.89
2006-09-01,3.96
2006-10-01,4.01
2006-11-01,4.07
2006-12-01,4.12
2007-01-01,4.11
2007-02-01,4.17
2007-03-01,4.19
2007-04-01,4.2
2007-05-01,4.23
2007-06-01,4.26
2007-07-01,4.37
2007-08-01,4.51
2007-09-01,4.61
2007-10-01,4.73
2007-11-01,4.81
2007-12-01,4.85
2008-01-01,4.86
2008-02-01,4.9
2008-03-01,4.89
2008-04-01,4.87
2008-05-01,4.86
2008-06-01,4.88
2008-07-01,4.98
2008-08-01,5.05
2008-09-01,5.18
2008-10-01,5.21
2008-11-01,5.27
2008-12-01,5.34
2009-01-01,5.2
2009-02-01,4.97
2009-03-01,4.78
2009-04-01,4.59
2009-05-01,4.4
2009-06-01,4.3
2009-07-01,4.19
2009-08-01,4.15
2009-09-01,4.13
2009-10-01,4.07
2009-11-01,3.99
2009-12-01,3.91
2010-01-01,3.89
2010-02-01,3.87
2010-03-01,3.82
2010-04-01,3.74
2010-05-01,3.7
2010-06-01,3.66
2010-07-01,3.62
2010-08-01,3.55
2010-09-01,3.53
2010-10-01,3.46
2010-11-01,3.44
2010-12-01,3.42
2011-01-01,3.46
2011-02-01,3.54
2011-03-01,3.64
2011-04-01,3.7
2011-05-01,3.8
2011-06-01,3.86
2011-07-01,3.89
2011-08-01,3.95
2011-09-01,3.93
2011-10-01,3.93
2011-11-01,3.95
2011-12-01,3.94
2012-01-01,3.98
2012-02-01,4.02
2012-03-01,4.03
2012-04-01,3.95
2012-05-01,3.91
2012-06-01,3.83
2012-07-01,3.74
2012-08-01,3.67
