Department,Millesime,Indicateur,Valeur
01,1968,PopulationLegale,339262
01,1975,PopulationLegale,376477
01,1982,PopulationLegale,418516
01,1990,PopulationLegale,471019
01,1999,PopulationLegale,515270
01,2007,PopulationLegale,574377
01,2008,Deces,4273
01,2008,Naissances,7323
01,2009,Deces,4337
01,2009,Naissances,7157
01,2010,Deces,4449
01,2010,Naissances,7282
01,2011,Deces,4305
01,2011,Naissances,7265
01,2012,Actifs1564,300634
01,2012,ArriveesHorsDep,25839
01,2012,Chomeurs1564,29323
01,2012,Deces,4577
01,2012,Logements,289259
01,2012,LogementsVacants,21557
01,2012,Naissances,7242
01,2012,Pop65Plus,94516
01,2012,PopUnAnPlus,603936
01,2012,Population,612191
01,2012,PopulationLegale,612191
01,2012,RPMaisons,163991
01,2012,RPProprietaires,156761
01,2012,ResidencesPrincipales,251298
01,2013,Deces,4565
01,2013,Naissances,7296
01,2014,Deces,4542
01,2014,Naissances,7354
01,2015,Deces,4832
01,2015,Naissances,6996
01,2016,Deces,4815
01,2016,Naissances,7099
01,2017,Actifs1564,313762
01,2017,ArriveesHorsDep,25444
01,2017,Chomeurs1564,32602
01,2017,Deces,5050
01,2017,Logements,313061
01,2017,LogementsVacants,25269
01,2017,Naissances,6949
01,2017,Pop65Plus,111207
01,2017,PopUnAnPlus,635556
01,2017,Population,643350
01,2017,PopulationLegale,643350
01,2017,RPMaisons,174973
01,2017,RPProprietaires,168717
01,2017,ResidencesPrincipales,270417
01,2018,Deces,5025
01,2018,Naissances,7101
01,2019,Deces,5005
01,2019,Naissances,6907
01,2020,Deces,5864
01,2020,Naissances,6806
01,2021,Deces,5312
01,2021,Naissances,7022
01,2022,Deces,5452
01,2022,Naissances,6881
01,2023,Actifs1564,333779
01,2023,ArriveesHorsDep,25672
01,2023,Chomeurs1564,28862
01,2023,Deces,5283
01,2023,Logements,338914
01,2023,LogementsVacants,25966
01,2023,Naissances,6328
01,2023,NiveauVieMedian,27990
01,2023,Pop65Plus,129318
01,2023,PopUnAnPlus,672083
01,2023,Population,679344
01,2023,PopulationLegale,679344
01,2023,RPMaisons,187318
01,2023,RPProprietaires,184867
01,2023,RPProprietaires65Plus,60861
01,2023,RPTotalAge,294496
01,2023,ResidencesPrincipales,294496
01,2023,TauxPauvrete,12
01,2024,Deces,5405
01,2024,Naissances,6214
01,2025,Deces,5496
01,2025,Naissances,6129
02,1968,PopulationLegale,525953
02,1975,PopulationLegale,533807
